year,pair,GEMBA-DA-GPT4,GEMBA-MQM-GPT4,fluency_mqm_flat-GPT5,chrF++,fluency-MQM-GPT5,fluency-MQM-Gemini,fluency2-GPT4.1 (1-10),fluency2-GPT4o (1-10),fluency2-GPT5 (1-10),fluency2-Gemini (1-10),fluency2-Opus4.7 (1-10)
wmt22,en-de,0.4825,0.4921,0.6896,0.277,0.512,0.4876,0.4208,0.416,0.5448,0.4479,0.4489
wmt22,en-ru,0.5395,0.5766,0.6523,0.4561,0.6392,0.6256,0.5367,0.6144,0.6738,0.613,0.6196
wmt22,zh-en,0.3338,0.3914,0.5195,0.1242,0.6218,0.5761,0.6303,0.6035,0.6748,0.5852,0.6116
wmt23,en-de,,,0.742,,0.8349,0.8433,0.6671,0.7236,0.7383,0.7385,0.6477
wmt23,he-en,,,0.6366,,0.4646,0.4971,0.5182,0.5208,0.5457,0.5754,0.5374
wmt23,zh-en,,,0.6122,,0.4618,0.607,0.5839,0.6239,0.514,0.5959,0.5962
wmt24,en-de,,,0.5308,,0.4518,0.4077,0.4167,0.4133,0.401,0.3599,0.3407
wmt24,en-es,,,0.4929,,0.4415,0.4025,0.3529,0.3559,0.4044,0.3882,0.3855
wmt24,ja-zh,,,0.5015,,0.5218,0.5107,0.5852,0.5228,0.4973,0.4859,0.5213
