metric,spearman,kendall,pa,n
FluencyScore-MQM-flat-GPT5,0.5832286899469741,0.4553754599881009,0.7617253874544578,2636
FluencyScore-GPT5,0.5499540668971292,0.41840537403596373,0.7450168338193802,2636
FluencyScore-Gemini,0.5451168028467434,0.41183097569848004,0.7403201586962879,2636
FluencyScore-MQM-Gemini,0.47670964806111915,0.38006493174312916,0.7100813239443299,2636
FluencyScore-MQM-GPT5,0.4997048517373403,0.3879142189230781,0.7219305940836633,2636
chrF++,0.29026915467333836,0.2134554319566382,0.6256133841215742,2553
