metric,spearman,p_spearman,kendall,p_kendall,pa,n,p_spearman_disp,p_kendall_disp
fluency2_gpt5,0.620338,9.745570146968804e-88,0.47504,1.9569418881040242e-75,0.777874,814,<0.0001,<0.0001
fluency2_opus47,0.589319,2.8199045610157928e-77,0.448371,4.8269645421702244e-67,0.761498,814,<0.0001,<0.0001
fluency2_gemini,0.568867,5.638736749796364e-71,0.430362,3.2606606052472296e-62,0.751594,814,<0.0001,<0.0001
fluency2_gpt4o,0.528038,1.224063620571185e-59,0.402225,5.30552287010665e-54,0.733097,814,<0.0001,<0.0001
gemba_mqm,0.51468,2.9625180909499476e-56,0.435541,1.141172975296381e-49,0.698061,814,<0.0001,<0.0001
fluency2_gpt41,0.507459,1.7356741893556922e-54,0.386074,5.7279895622678735e-50,0.724138,814,<0.0001,<0.0001
gemba_da,0.470383,4.763631433261297e-46,0.403252,4.6866740251011556e-42,0.672983,814,<0.0001,<0.0001
chrf_pp,0.349054,9.808083457910343e-25,0.261168,5.462836404068542e-24,0.652737,814,<0.0001,<0.0001
