label,spearman,spearman_p,kendall,kendall_p,pa,n
GEMBA-MQM-GPT5,0.584,<0.0001,0.456,<0.0001,0.765,2598
fluency2-GPT5,0.553,<0.0001,0.421,<0.0001,0.747,2598
fluency2-Gemini,0.538,<0.0001,0.406,<0.0001,0.738,2598
fluency2-Opus4.7,0.532,<0.0001,0.403,<0.0001,0.736,2598
fluency2-GPT4.1,0.532,<0.0001,0.406,<0.0001,0.737,2598
fluency2-GPT4o,0.53,<0.0001,0.405,<0.0001,0.737,2598
GEMBA-MQM-GPT4,0.515,<0.0001,0.436,<0.0001,0.698,808
GEMBA-DA-GPT4,0.47,<0.0001,0.403,<0.0001,0.673,808
chrF++,0.35,<0.0001,0.262,<0.0001,0.653,808
